sentence
"confused and frustrated, connie decides to leave on her own."
"later, a woman’s scream is heard in the distance."
christian is then paralyzed by an elder.
the temple is set on fire.
"outside, the cult wails with him."
it's a parable of a woman's religious awakening—
"c. mackenzie, and craig vincent joined the cast."
"later, craig di francia and action bronson were revealed to have joined the cast."
sebastian maniscalco and paul ben-victor were later revealed as being part of the cast.
"as a customer, I am able to add items to cart."
